iter	Logloss
0	0.6225185801
1	0.5680970004
2	0.5225018842
3	0.485392661
4	0.4596618787
5	0.4435148902
6	0.4262505238
7	0.4119748653
8	0.4025916024
9	0.3903391135
10	0.382212862
11	0.3748055104
12	0.3684353658
13	0.3625728794
14	0.3562992618
15	0.3519284652
16	0.3467478001
17	0.3447649182
18	0.3407300729
19	0.3369119566
20	0.3336478002
21	0.3306801643
22	0.3281307639
23	0.3254206261
24	0.3228301995
25	0.3204463732
26	0.3172057478
27	0.314709142
28	0.3109685506
29	0.3075501853
30	0.3044702203
31	0.3019902594
32	0.2988491608
33	0.2956425306
34	0.2933514792
35	0.2913553106
36	0.2912102618
37	0.2897883032
38	0.2886258823
39	0.2870053511
40	0.2843749081
41	0.2827526847
42	0.281175511
43	0.2804690768
44	0.2792610886
45	0.2772564169
46	0.2749872642
47	0.2738198447
48	0.2720507538
49	0.268661734
50	0.2678520574
51	0.2666707214
52	0.2659143847
53	0.2647647558
54	0.2630270302
55	0.2617368294
56	0.2603148298
57	0.2593847396
58	0.2576506325
59	0.2561620057
60	0.2549202561
61	0.2537337443
62	0.2528020634
63	0.2514685268
64	0.2504529839
65	0.2492637138
66	0.248654757
67	0.2480304532
68	0.2458776478
69	0.2440185878
70	0.2432410008
71	0.2420552975
72	0.2410834699
73	0.2399869334
74	0.2389704058
75	0.2382571432
76	0.2376679976
77	0.2365591657
78	0.2353642518
79	0.2348541793
80	0.2348325418
81	0.2333053186
82	0.232541692
83	0.2323528452
84	0.2297754877
85	0.2291389641
86	0.2284955008
87	0.2269489147
88	0.2249666877
89	0.2240200348
90	0.2240163981
91	0.2229563275
92	0.2222543059
93	0.2216625147
94	0.2216306455
95	0.2210510305
96	0.2205693363
97	0.2194499032
98	0.2190536677
99	0.2182766221
100	0.2176931092
101	0.2169900608
102	0.2156221322
103	0.2151183562
104	0.2142133732
105	0.2139878641
106	0.213640142
107	0.2131385136
108	0.212780246
109	0.2120772736
110	0.211433762
111	0.2110442281
112	0.2103313375
113	0.2095904622
114	0.2093168945
115	0.2086426111
116	0.2082160329
117	0.2077110155
118	0.2072717075
119	0.2068086076
120	0.2065154061
121	0.2061110417
122	0.2041337586
123	0.2031377773
124	0.2027202035
125	0.2023801599
126	0.2017341481
127	0.2011834352
128	0.200776602
129	0.1998751506
130	0.1993728118
131	0.1990158308
132	0.1983790908
133	0.1978744035
134	0.197550278
135	0.1967401901
136	0.1962947727
137	0.1955852027
138	0.1952531281
139	0.194887085
