iter	Passed	Remaining
0	175	69968
1	306	60985
2	511	67663
3	674	66744
4	917	72491
5	1118	73420
6	1276	71693
7	1448	70997
8	1616	70209
9	1770	69065
10	1950	68965
11	2139	69182
12	2356	70165
13	2493	68750
14	2669	68529
15	2813	67531
16	3007	67759
17	3036	64441
18	3227	64721
19	3381	64253
20	3540	63891
21	3701	63595
22	3868	63416
23	4015	62912
24	4171	62578
25	4366	62816
26	4535	62657
27	4740	62979
28	4929	63062
29	5077	62623
30	5234	62310
31	5413	62253
32	5610	62397
33	5757	61975
34	5900	61538
35	6047	61145
36	6092	59771
37	6246	59502
38	6392	59173
39	6543	58890
40	6753	59137
41	6925	59033
42	7107	59012
43	7272	58841
44	7412	58474
45	7562	58194
46	7739	58126
47	7970	58452
48	8115	58135
49	8286	58005
50	8445	57790
51	8607	57603
52	8804	57646
53	9009	57728
54	9221	57843
55	9402	57755
56	9566	57565
57	9754	57517
58	9931	57402
59	10081	57127
60	10237	56894
61	10427	56846
62	10622	56823
63	10850	56967
64	11081	57110
65	11265	57007
66	11486	57091
67	11688	57067
68	11854	56865
69	12030	56713
70	12157	56334
71	12298	56026
72	12432	55689
73	12585	55442
74	12721	55124
75	12849	54780
76	13050	54745
77	13296	54890
78	13468	54724
79	13647	54591
80	13684	53892
81	13816	53582
82	13974	53372
83	14010	52705
84	14232	52745
85	14447	52749
86	14665	52761
87	14841	52618
88	14996	52403
89	15194	52337
90	15222	51688
91	15380	51491
92	15548	51328
93	15709	51140
94	15738	50528
95	15889	50316
96	16093	50270
97	16261	50111
98	16392	49840
99	16646	49938
100	16792	49712
101	16950	49522
102	17128	49391
103	17282	49188
104	17416	48931
105	17571	48735
106	17719	48522
107	17892	48376
108	18133	48411
109	18275	48181
110	18467	48081
111	18624	47891
112	18849	47874
113	19000	47668
114	19134	47419
115	19304	47262
116	19458	47066
117	19631	46916
118	19779	46705
119	20000	46668
120	20198	46574
121	20354	46380
122	20503	46175
123	20676	46022
124	20810	45782
125	20962	45585
126	21151	45467
127	21328	45322
128	21468	45099
129	21647	44960
130	21820	44806
131	22044	44756
132	22247	44661
133	22433	44531
134	22592	44349
135	22746	44155
136	22931	44021
137	23161	43972
138	23345	43834
139	23538	43713
140	23709	43551
141	23856	43344
142	24017	43164
143	24182	42990
144	24367	42853
145	24524	42666
146	24672	42464
147	24824	42268
148	25003	42120
149	25170	41951
150	25307	41732
151	25450	41523
152	25608	41341
153	25953	41458
154	26143	41323
155	26370	41246
156	26514	41038
157	26670	40850
158	26861	40714
159	27020	40531
160	27160	40319
161	27340	40166
162	27476	39951
163	27645	39782
164	27803	39599
165	27968	39425
166	28111	39220
167	28274	39045
168	28434	38865
169	28571	38655
170	28692	38423
171	28920	38336
172	29068	38141
173	29236	37973
174	29389	37786
175	29556	37616
176	29715	37438
177	29865	37248
178	30024	37069
179	30197	36908
180	30341	36710
181	30466	36492
182	30638	36330
183	30806	36163
184	30981	36005
185	31160	35851
186	31353	35712
187	31520	35543
188	31734	35428
189	31881	35237
190	32066	35088
191	32215	34900
192	32365	34713
193	32508	34519
194	32769	34449
195	32947	34292
196	33121	34129
197	33287	33959
198	33579	33917
199	33791	33791
200	34003	33664
201	34227	33549
202	34462	33444
203	34663	33304
204	34882	33181
205	35077	33034
206	35271	32885
207	35494	32764
208	35758	32678
209	35961	32536
210	36155	32385
211	36304	32194
212	36465	32014
213	36638	31844
214	36948	31792
215	37223	31708
216	37407	31546
217	37625	31412
218	37785	31229
219	37970	31067
220	38122	30877
221	38340	30741
222	38478	30541
223	38663	30378
224	38866	30229
225	39008	30032
226	39156	29841
227	39318	29661
228	39499	29495
229	39648	29305
230	39797	29115
231	39963	28938
232	40099	28741
233	40310	28596
234	40497	28434
235	40667	28260
236	40853	28097
237	41070	27955
238	41278	27806
239	41447	27631
240	41659	27484
241	41840	27317
242	42027	27153
243	42215	26990
244	42473	26871
245	42656	26703
246	42853	26544
247	43103	26418
248	43258	26232
249	43461	26076
250	43650	25911
251	43854	25756
252	44041	25589
253	44201	25407
254	44401	25247
255	44611	25093
256	44743	24896
257	44923	24725
258	45135	24571
259	45321	24404
260	45556	24261
261	45730	24087
262	45885	23902
263	46053	23724
264	46189	23530
265	46434	23391
266	46570	23198
267	46698	23000
268	46949	22863
269	47166	22709
270	47385	22556
271	47639	22418
272	47837	22254
273	48143	22139
274	48416	22007
275	48643	21854
276	48890	21709
277	49077	21537
278	49278	21371
279	49474	21203
